Location,Household Type,TimeFrame,DataFormat,Data
Midtown Business District,All Households,2010,Dollars,94469.6054
Midtown Business District,Families,2010,Dollars,128825.4989
Midtown Business District,Families with Children,2010,Dollars,126262.4594
Midtown Business District,All Households,2011,Dollars,97973.97884
Midtown Business District,Families without Children,2010,Dollars,129181.0721
Midtown Business District,Families,2011,Dollars,146983.3879
Midtown Business District,Families with Children,2011,Dollars,141127.1329
Midtown Business District,Families without Children,2011,Dollars,147154.4855
Midtown Business District,All Households,2012,Dollars,99841.37658
Midtown Business District,Families,2012,Dollars,152400.5546
Midtown Business District,Families without Children,2012,Dollars,144348.532
Midtown Business District,Families with Children,2012,Dollars,168068.3231
Midtown Business District,All Households,2013,Dollars,114533.2275
Midtown Business District,Families,2013,Dollars,173336.8524
Midtown Business District,Families with Children,2013,Dollars,180955.3293
Midtown Business District,Families without Children,2013,Dollars,161889.7892
Midtown Business District,All Households,2014,Dollars,110708.5116
Midtown Business District,Families with Children,2014,Dollars,151987.9001
Midtown Business District,Families,2014,Dollars,158092.7566
Midtown Business District,Families without Children,2014,Dollars,169407.2404
Midtown Business District,All Households,2015,Dollars,114736.7635
Midtown Business District,Families,2015,Dollars,179579.9297
Midtown Business District,Families with Children,2015,Dollars,176276.1266
Midtown Business District,Families without Children,2015,Dollars,180969.8829
Midtown Business District,Families,2016,Dollars,189682.5771
Midtown Business District,All Households,2016,Dollars,112708.1034
Midtown Business District,Families with Children,2016,Dollars,182918.981
Midtown Business District,Families without Children,2016,Dollars,189854.6082
Midtown Business District,Families,2017,Dollars,162225.3347
Midtown Business District,All Households,2017,Dollars,111013.5269
Midtown Business District,All Households,2018,Dollars,107973.5392
Midtown Business District,Families without Children,2017,Dollars,154784.9541
Midtown Business District,Families with Children,2017,Dollars,186378.5411
Midtown Business District,Families without Children,2019,Dollars,200435.262
Midtown Business District,Families with Children,2019,Dollars,163882.15
Midtown Business District,Families,2019,Dollars,195552.0563
Midtown Business District,All Households,2019,Dollars,126360.1729
Midtown Business District,Families without Children,2018,Dollars,183541.1301
Midtown Business District,Families with Children,2018,Dollars,205166.8157
Midtown Business District,Families,2018,Dollars,186425.2669
Midtown Business District,All Households,2021,Dollars,30966.84259
Midtown Business District,Families with Children,2021,Dollars,50440.53034
Midtown Business District,Families,2021,Dollars,57857.36265
Midtown Business District,Families without Children,2021,Dollars,57985.4461
Murray Hill/Stuyvesant,Families without Children,2021,Dollars,199839
Murray Hill/Stuyvesant,Families,2021,Dollars,200308
Murray Hill/Stuyvesant,Families with Children,2021,Dollars,201520
Murray Hill/Stuyvesant,All Households,2021,Dollars,117596
Murray Hill/Stuyvesant,Families,2018,Dollars,262168.0424
Murray Hill/Stuyvesant,Families with Children,2018,Dollars,240328.717
Murray Hill/Stuyvesant,Families without Children,2018,Dollars,262170.1788
Murray Hill/Stuyvesant,All Households,2019,Dollars,162354.2436
Murray Hill/Stuyvesant,Families,2019,Dollars,230620.3459
Murray Hill/Stuyvesant,Families with Children,2019,Dollars,260161.2712
Murray Hill/Stuyvesant,Families without Children,2019,Dollars,228884.3752
Murray Hill/Stuyvesant,Families with Children,2017,Dollars,272142.6709
Murray Hill/Stuyvesant,Families without Children,2017,Dollars,185442.3703
Murray Hill/Stuyvesant,All Households,2018,Dollars,144097.8877
Murray Hill/Stuyvesant,All Households,2017,Dollars,122336.8392
Murray Hill/Stuyvesant,Families,2017,Dollars,207483.7495
Murray Hill/Stuyvesant,Families without Children,2016,Dollars,208231.9669
Murray Hill/Stuyvesant,Families with Children,2016,Dollars,240801.3346
Murray Hill/Stuyvesant,All Households,2016,Dollars,122531.6329
Murray Hill/Stuyvesant,Families,2016,Dollars,210209.7693
Murray Hill/Stuyvesant,Families without Children,2015,Dollars,191712.5718
Murray Hill/Stuyvesant,Families with Children,2015,Dollars,280458.6695
Murray Hill/Stuyvesant,Families,2015,Dollars,213249.5539
Murray Hill/Stuyvesant,All Households,2015,Dollars,119870.279
Murray Hill/Stuyvesant,Families without Children,2014,Dollars,185795.4384
Murray Hill/Stuyvesant,Families,2014,Dollars,193468.35
Murray Hill/Stuyvesant,Families with Children,2014,Dollars,226517.6955
Murray Hill/Stuyvesant,All Households,2014,Dollars,118643.1402
Murray Hill/Stuyvesant,Families without Children,2013,Dollars,164066.9847
Murray Hill/Stuyvesant,Families with Children,2013,Dollars,231198.1261
Murray Hill/Stuyvesant,Families,2013,Dollars,172910.0629
Murray Hill/Stuyvesant,All Households,2013,Dollars,123003.0071
Murray Hill/Stuyvesant,Families with Children,2012,Dollars,164240.1986
Murray Hill/Stuyvesant,Families without Children,2012,Dollars,169649.1025
Murray Hill/Stuyvesant,Families,2012,Dollars,168292.8262
Murray Hill/Stuyvesant,All Households,2012,Dollars,106962.9844
Murray Hill/Stuyvesant,Families without Children,2011,Dollars,170295.1298
Murray Hill/Stuyvesant,Families with Children,2011,Dollars,264102.5891
Murray Hill/Stuyvesant,Families,2011,Dollars,197612.9135
Murray Hill/Stuyvesant,Families without Children,2010,Dollars,171683.5962
Murray Hill/Stuyvesant,All Households,2011,Dollars,119824.9019
Murray Hill/Stuyvesant,Families with Children,2010,Dollars,182793.7412
Murray Hill/Stuyvesant,Families,2010,Dollars,174139.8423
Murray Hill/Stuyvesant,All Households,2010,Dollars,110579.619
Murray Hill/Stuyvesant,Families without Children,2009,Dollars,183194.6491
Murray Hill/Stuyvesant,Families with Children,2009,Dollars,171862.9323
Murray Hill/Stuyvesant,All Households,2009,Dollars,121822.436
Murray Hill/Stuyvesant,Families,2009,Dollars,182189.9636
Murray Hill/Stuyvesant,Families without Children,2008,Dollars,188618.0126
Murray Hill/Stuyvesant,Families with Children,2008,Dollars,212809.8539
Murray Hill/Stuyvesant,Families,2008,Dollars,194790.5645
Murray Hill/Stuyvesant,All Households,2008,Dollars,133682.4244
Murray Hill/Stuyvesant,Families without Children,2007,Dollars,172840.5388
Murray Hill/Stuyvesant,Families with Children,2007,Dollars,150086.3976
Murray Hill/Stuyvesant,All Households,2007,Dollars,124841.228
Murray Hill/Stuyvesant,Families,2007,Dollars,166459.6934
Murray Hill/Stuyvesant,Families without Children,2006,Dollars,177290.3121
Murray Hill/Stuyvesant,Families with Children,2006,Dollars,177397.5914
